sim,total_net_income,default_rate,lgd,margin_shock
9155,-6371907.146403092,0.06717222981123791,0.38521780034297154,-0.003346640683518387
9156,-9351344.010792706,0.053157878657380996,0.6037633289315216,-0.0028352332678042605
9157,-7691141.492499396,0.08062571237974983,0.3927657191159707,0.0028552122958775406
9158,3895028.835015524,0.06423578725802206,0.34705382489911313,0.03
9159,3272808.9484471846,0.08641910209867246,0.2,0.01769725570484369
9160,4902609.57576963,0.049193202588540486,0.2982990043359487,0.01897607049927383
9161,-3460525.224353633,0.07389441571767728,0.24010098492249451,-0.007892974009089868
9162,-8438741.023150861,0.0911133878795678,0.31254578554445994,-0.00636139670399697
9163,-23426083.186938643,0.08063671898774362,0.6958742102431907,-0.01096226865248346
9164,-34974183.32131238,0.11289852975612931,0.6158778163555597,-0.03
9165,-10209005.800266102,0.09927859063529432,0.349360287176571,-0.001116094424328914
9166,-42285139.446775585,0.13239206044027396,0.7237782833501245,-0.007044814410958191
9167,5874984.737266462,0.013145910186621534,0.3940942890697475,0.004125962499090434
9168,-12586082.169664085,0.08569661656206384,0.4827068525600046,0.0026770748519093514
9169,-19323276.51168184,0.11573168707589615,0.4186710478420531,-0.009887959987087783
9170,-3073089.9967817077,0.07286532703453757,0.22995123635940495,-0.008309589418175299
9171,-22618120.389531605,0.11707266658394322,0.5323418999473667,0.004432350784533224
9172,-17976494.63102486,0.07703992312491398,0.4612715220102673,-0.03
9173,-44703246.91176318,0.12483704040613956,0.7128479405418771,-0.03
9174,-24374367.097476088,0.11204636339258621,0.43157768147564257,-0.029951523536136088
9175,-3660755.525575336,0.07917497990643006,0.24880527138516836,-0.004830869551375878
9176,3247362.6137610013,0.07187696241843416,0.2,0.011875641399099402
9177,-19670681.94621923,0.10929972309083477,0.459846680219344,-0.007698850649621941
9178,-15950552.17603724,0.0952399030425988,0.4497709897786331,-0.007668771595115591
9179,2205149.434600096,0.04482911559863285,0.4672744939751362,0.020703871165713303
9180,1837874.4465274336,0.039581595382296456,0.36178585077603986,0.006221265679039955
9181,-10430931.717607629,0.05537947488250132,0.5492776731135717,-0.010379975738039546
9182,5434158.419805685,0.08489714610796772,0.22633289073445773,0.03
9183,-48031023.03101514,0.13861426343757086,0.8019226170507961,0.0005164593463509171
9184,9164783.877778172,0.05876882788888488,0.2,0.03
9185,-12433276.187961943,0.12313054791901273,0.2,-0.02965333008286164
9186,1749424.1853381693,0.09102440003492707,0.20808413132472103,0.014963111307471615
9187,-40222480.62464919,0.11693256794898556,0.7666135792695509,-0.011087606821140815
9188,1103443.3750343863,0.07677539819385613,0.3630908759714558,0.03
9189,2351340.2608529106,0.030916917742747393,0.6726061348051666,0.020978863733923516
9190,-21004929.984620217,0.104324053234641,0.5471410505699515,0.0004657943290687489
9191,-34056019.90423785,0.12402269123467166,0.6242475359999504,-0.010867895863244438
9192,-16091452.669232016,0.10380355860253668,0.30602263640527144,-0.03
9193,-3742620.014399537,0.06663861917981255,0.30535323738239145,-0.0038759119886248744
9194,-21622353.973559473,0.06489402091330987,0.6599689875538006,-0.03
